"Topic","RepeatedQuestionCount","TotalCompanyMentions"
"Array","458","3793"
"String","226","1923"
"Hash Table","195","1649"
"Dynamic Programming","137","1284"
"Sorting","128","984"
"Math","109","788"
"Depth-First Search","102","647"
"Two Pointers","96","1018"
"Greedy","95","534"
"Breadth-First Search","87","604"
"Binary Search","81","592"
"Matrix","72","624"
"Tree","69","372"
"Heap (Priority Queue)","64","432"
"Stack","61","597"
"Design","58","473"
"Binary Tree","58","340"
"Graph","43","212"
"Linked List","42","513"
"Sliding Window","41","314"
"Simulation","40","269"
"Counting","40","196"
"Backtracking","39","369"
"Bit Manipulation","39","173"
"Prefix Sum","35","225"
"Union Find","28","214"
"Recursion","26","330"
"Trie","24","201"
"Divide and Conquer","19","285"
"Monotonic Stack","18","195"
"Queue","18","116"
"Database","18","59"
"Ordered Set","16","64"
"Binary Search Tree","15","83"
"Hash Function","14","46"
"Memoization","12","102"
"String Matching","12","54"
"Topological Sort","11","92"
"Data Stream","11","74"
"Bitmask","10","31"
"Rolling Hash","10","27"
"Doubly-Linked List","8","141"
"Enumeration","8","30"
"Shortest Path","6","29"
"Geometry","6","26"
"Bucket Sort","5","55"
"Monotonic Queue","5","46"
"Combinatorics","5","30"
"Segment Tree","5","19"
"Interactive","5","17"
"Quickselect","4","76"
"Randomized","4","64"
"Iterator","4","18"
"Number Theory","4","16"
"Game Theory","4","13"
"Merge Sort","3","49"
"Line Sweep","3","19"
"Binary Indexed Tree","3","15"
"Concurrency","3","9"
"Counting Sort","3","7"
"Eulerian Circuit","2","10"
"Brainteaser","2","4"
"Radix Sort","2","4"
"Minimum Spanning Tree","1","3"
"Suffix Array","1","3"
"Probability and Statistics","1","2"
